Channels in measurement: A, B
General Device configurations:
Number of runs	1	Threshold voltage	1.0
Channel A:	Average cycles	1	number of stops	1	stop mask	0	mode	2	stop edge	RISE	start edge	RISE
Channel B:	Average cycles	1	number of stops	1	stop mask	0	mode	2	stop edge	RISE	start edge	RISE


Start Time (YY:MM:DD:HH:MM:SS)	Stop Time (ps)	Channel
2025-09-11 18:39:35.765118	210219320	B
2025-09-11 18:39:35.769343	110118856	A
2025-09-11 18:39:35.769343	210219443	B
2025-09-11 18:39:35.773567	110118686	A
2025-09-11 18:39:35.773567	210219440	B
2025-09-11 18:39:35.777792	110118747	A
2025-09-11 18:39:35.777792	210221048	B
2025-09-11 18:39:35.782015	110118740	A
2025-09-11 18:39:35.782015	210219317	B
2025-09-11 18:39:35.786240	110118920	A
2025-09-11 18:39:35.786240	210219483	B
2025-09-11 18:39:35.790465	110118629	A
2025-09-11 18:39:35.790465	210219367	B
2025-09-11 18:39:35.794689	110118740	A
2025-09-11 18:39:35.794689	210219307	B
2025-09-11 18:39:35.798914	110117165	A
2025-09-11 18:39:35.798914	210217762	B
2025-09-11 18:39:35.803137	110118740	A
2025-09-11 18:39:35.803137	210219361	B
2025-09-11 18:39:35.807362	110118686	A
2025-09-11 18:39:35.807362	210219367	B
2025-09-11 18:39:35.811586	110118800	A
2025-09-11 18:39:35.811586	210219453	B
2025-09-11 18:39:35.815811	110118684	A
2025-09-11 18:39:35.815811	210221096	B
2025-09-11 18:39:35.820034	110118624	A
2025-09-11 18:39:35.820034	210219370	B
2025-09-11 18:39:35.824259	110118801	A
2025-09-11 18:39:35.824259	210219506	B
2025-09-11 18:39:35.828484	110118685	A
2025-09-11 18:39:35.828484	210219440	B
2025-09-11 18:39:35.832708	110118802	A
2025-09-11 18:39:35.832708	210219417	B
2025-09-11 18:39:35.836933	110118686	A
2025-09-11 18:39:35.836933	210219201	B
2025-09-11 18:39:35.841156	110118569	A
2025-09-11 18:39:35.841156	210219387	B
2025-09-11 18:39:35.845381	110118684	A
2025-09-11 18:39:35.845381	210219377	B
2025-09-11 18:39:35.849606	110118510	A
2025-09-11 18:39:35.849606	210219254	B
2025-09-11 18:39:35.853830	110117049	A
2025-09-11 18:39:35.853830	210217572	B
2025-09-11 18:39:35.858053	110118506	A
2025-09-11 18:39:35.858053	210219370	B
2025-09-11 18:39:35.862278	110118860	A
2025-09-11 18:39:35.862278	210219542	B
2025-09-11 18:39:35.866503	110118678	A
2025-09-11 18:39:35.866503	210219496	B
2025-09-11 18:39:35.870727	110118621	A
2025-09-11 18:39:35.870727	210221039	B
2025-09-11 18:39:35.874951	110118620	A
2025-09-11 18:39:35.874951	210219201	B
2025-09-11 18:39:35.879175	110118668	A
2025-09-11 18:39:35.879175	210219367	B
2025-09-11 18:39:35.883400	110118685	A
2025-09-11 18:39:35.883400	210219426	B
2025-09-11 18:39:35.887625	110118746	A
2025-09-11 18:39:35.887625	210219380	B
2025-09-11 18:39:35.891849	110117051	A
2025-09-11 18:39:35.891849	210217779	B
2025-09-11 18:39:35.896073	110118453	A
2025-09-11 18:39:35.896073	210219042	B
2025-09-11 18:39:35.900297	110118802	A
2025-09-11 18:39:35.900297	210219489	B
2025-09-11 18:39:35.904522	110118685	A
2025-09-11 18:39:35.904522	210219426	B
2025-09-11 18:39:35.908746	110118686	A
2025-09-11 18:39:35.908746	210221045	B
2025-09-11 18:39:35.912970	110118684	A
2025-09-11 18:39:35.912970	210219317	B
2025-09-11 18:39:35.917194	110118873	A
2025-09-11 18:39:35.917194	210219546	B
2025-09-11 18:39:35.921419	110118686	A
2025-09-11 18:39:35.921419	210219549	B
2025-09-11 18:39:35.925644	110118738	A
2025-09-11 18:39:35.925644	210219453	B
2025-09-11 18:39:35.929868	110116811	A
2025-09-11 18:39:35.929868	210217586	B
2025-09-11 18:39:35.934092	110118721	A
2025-09-11 18:39:35.934092	210219443	B
2025-09-11 18:39:35.938316	110118744	A
2025-09-11 18:39:35.938316	210219486	B
2025-09-11 18:39:35.942541	110118745	A
2025-09-11 18:39:35.942541	210219374	B
2025-09-11 18:39:35.946766	110118740	A
2025-09-11 18:39:35.946766	210221048	B
2025-09-11 18:39:35.950989	110118814	A
2025-09-11 18:39:35.950989	210219447	B
2025-09-11 18:39:35.955213	110118688	A
2025-09-11 18:39:35.955213	210219559	B
2025-09-11 18:39:35.959438	110118746	A
2025-09-11 18:39:35.959438	210219277	B
2025-09-11 18:39:35.963663	110118798	A
2025-09-11 18:39:35.963663	210219546	B
2025-09-11 18:39:35.967887	110116962	A
2025-09-11 18:39:35.967887	210217580	B
2025-09-11 18:39:35.972111	110118745	A
2025-09-11 18:39:35.972111	210219447	B
2025-09-11 18:39:35.976335	110118628	A
2025-09-11 18:39:35.976335	210219380	B
2025-09-11 18:39:35.980560	110118740	A
2025-09-11 18:39:35.980560	210219562	B
2025-09-11 18:39:35.984785	110118507	A
2025-09-11 18:39:35.984785	210220885	B
2025-09-11 18:39:35.989008	110118567	A
2025-09-11 18:39:35.989008	210219443	B
2025-09-11 18:39:35.993233	110118799	A
2025-09-11 18:39:35.993233	210219602	B
2025-09-11 18:39:35.997457	110118628	A
2025-09-11 18:39:35.997457	210219185	B
2025-09-11 18:39:36.001682	110118685	A
2025-09-11 18:39:36.001682	210219317	B
2025-09-11 18:39:36.005907	110117096	A
2025-09-11 18:39:36.005907	210217822	B
2025-09-11 18:39:36.010130	110118803	A
2025-09-11 18:39:36.010130	210219373	B
2025-09-11 18:39:36.014354	110118626	A
2025-09-11 18:39:36.014354	210219430	B
2025-09-11 18:39:36.018579	110118744	A
2025-09-11 18:39:36.018579	210219446	B
2025-09-11 18:39:36.022804	110118679	A
2025-09-11 18:39:36.022804	210220985	B
2025-09-11 18:39:36.027027	110118682	A
2025-09-11 18:39:36.027027	210219479	B
2025-09-11 18:39:36.031252	110118689	A
2025-09-11 18:39:36.031252	210219443	B
2025-09-11 18:39:36.035476	110118740	A
2025-09-11 18:39:36.035476	210219493	B
2025-09-11 18:39:36.039701	110118683	A
2025-09-11 18:39:36.039701	210219304	B
2025-09-11 18:39:36.043926	110118802	A
2025-09-11 18:39:36.043926	210219427	B
2025-09-11 18:39:36.048149	110118625	A
2025-09-11 18:39:36.048149	210219517	B
2025-09-11 18:39:36.052374	110118684	A
2025-09-11 18:39:36.052374	210219440	B
2025-09-11 18:39:36.056598	110118687	A
2025-09-11 18:39:36.056598	210219374	B
2025-09-11 18:39:36.060823	110115232	A
2025-09-11 18:39:36.060823	210216143	B
2025-09-11 18:39:36.065046	110118857	A
2025-09-11 18:39:36.065046	210219304	B
2025-09-11 18:39:36.069271	110118861	A
2025-09-11 18:39:36.069271	210219387	B
2025-09-11 18:39:36.073496	110118682	A
2025-09-11 18:39:36.073496	210219569	B
2025-09-11 18:39:36.077720	110118738	A
2025-09-11 18:39:36.077720	210222600	B
2025-09-11 18:39:36.081945	110118683	A
2025-09-11 18:39:36.081945	210219211	B
2025-09-11 18:39:36.086168	110118680	A
2025-09-11 18:39:36.086168	210219261	B
2025-09-11 18:39:36.090393	110118742	A
2025-09-11 18:39:36.090393	210219552	B
2025-09-11 18:39:36.094617	110118683	A
2025-09-11 18:39:36.094617	210219377	B
2025-09-11 18:39:36.098842	110117220	A
2025-09-11 18:39:36.098842	210217705	B
2025-09-11 18:39:36.103065	110118747	A
2025-09-11 18:39:36.103065	210219449	B
2025-09-11 18:39:36.107290	110118858	A
2025-09-11 18:39:36.107290	210219420	B
2025-09-11 18:39:36.111515	110118798	A
2025-09-11 18:39:36.111515	210219479	B
2025-09-11 18:39:36.115739	110118625	A
2025-09-11 18:39:36.115739	210221057	B
2025-09-11 18:39:36.119963	110118683	A
2025-09-11 18:39:36.119963	210219327	B
2025-09-11 18:39:36.124187	110118674	A
2025-09-11 18:39:36.124187	210219416	B
2025-09-11 18:39:36.128412	110118455	A
2025-09-11 18:39:36.128412	210219360	B
2025-09-11 18:39:36.132636	110118740	A
2025-09-11 18:39:36.132636	210219446	B
2025-09-11 18:39:36.136861	110117105	A
2025-09-11 18:39:36.136861	210217663	B
2025-09-11 18:39:36.141084	110118709	A
2025-09-11 18:39:36.141084	210219314	B
2025-09-11 18:39:36.145309	110118619	A
2025-09-11 18:39:36.145309	210219082	B
2025-09-11 18:39:36.149534	110118977	A
2025-09-11 18:39:36.149534	210219496	B
2025-09-11 18:39:36.153758	110118918	A
2025-09-11 18:39:36.153758	210221036	B
2025-09-11 18:39:36.157982	110118802	A
2025-09-11 18:39:36.157982	210219324	B
2025-09-11 18:39:36.162206	110118803	A
2025-09-11 18:39:36.162206	210219556	B
2025-09-11 18:39:36.166431	110118860	A
2025-09-11 18:39:36.166431	210219486	B
2025-09-11 18:39:36.170656	110118743	A
2025-09-11 18:39:36.170656	210219446	B
2025-09-11 18:39:36.174880	110116933	A
2025-09-11 18:39:36.174880	210217586	B
2025-09-11 18:39:36.179104	110118575	A
2025-09-11 18:39:36.179104	210219261	B
2025-09-11 18:39:36.183328	110118684	A
2025-09-11 18:39:36.183328	210219314	B
2025-09-11 18:39:36.187553	110118743	A
2025-09-11 18:39:36.187553	210219427	B
2025-09-11 18:39:36.191777	110118569	A
2025-09-11 18:39:36.191777	210221104	B
2025-09-11 18:39:36.196001	110118920	A
2025-09-11 18:39:36.196001	210219506	B
2025-09-11 18:39:36.200225	110118745	A
2025-09-11 18:39:36.200225	210219254	B
2025-09-11 18:39:36.204450	110118742	A
2025-09-11 18:39:36.204450	210219486	B
2025-09-11 18:39:36.208675	110118879	A
2025-09-11 18:39:36.208675	210219517	B
2025-09-11 18:39:36.212899	110117165	A
2025-09-11 18:39:36.212899	210217828	B
2025-09-11 18:39:36.217123	110118803	A
2025-09-11 18:39:36.217123	210219510	B
2025-09-11 18:39:36.221347	110118799	A
2025-09-11 18:39:36.221347	210219327	B
2025-09-11 18:39:36.225572	110118917	A
2025-09-11 18:39:36.225572	210219384	B
2025-09-11 18:39:36.229797	110118803	A
2025-09-11 18:39:36.229797	210221108	B
2025-09-11 18:39:36.234020	110118800	A
2025-09-11 18:39:36.234020	210219433	B
2025-09-11 18:39:36.238245	110118682	A
2025-09-11 18:39:36.238245	210219320	B
2025-09-11 18:39:36.242469	110118803	A
2025-09-11 18:39:36.242469	210219549	B
2025-09-11 18:39:36.246694	110118569	A
2025-09-11 18:39:36.246694	210219390	B
2025-09-11 18:39:36.250918	110123772	A
2025-09-11 18:39:36.250918	210224443	B
2025-09-11 18:39:36.255142	110118862	A
2025-09-11 18:39:36.255142	210219480	B
2025-09-11 18:39:36.259366	110118627	A
2025-09-11 18:39:36.259366	210219443	B
2025-09-11 18:39:36.263591	110118800	A
2025-09-11 18:39:36.263591	210219493	B
2025-09-11 18:39:36.267816	110115412	A
2025-09-11 18:39:36.267816	210216216	B
2025-09-11 18:39:36.272039	110118627	A
2025-09-11 18:39:36.272039	210219446	B
2025-09-11 18:39:36.276264	110118629	A
2025-09-11 18:39:36.276264	210219443	B
2025-09-11 18:39:36.280488	110118931	A
2025-09-11 18:39:36.280488	210219373	B
2025-09-11 18:39:36.284713	110118741	A
2025-09-11 18:39:36.284713	210219513	B
